,sp500_Close,sp500_Volume,vix_Close,vix_Volume,dji_Close,dji_Volume,ndx_Close,ndx_Volume,n255_Close,n255_Volume,ftse_Close,ftse_Volume,hsi_Close,hsi_Volume,n100_Close,n100_Volume,Overall EMV Tracker,infectious_daily_infect_emv_index,GPR,trade_US Trade Policy Uncertainty,trade_Japanese Trade Policy Uncertainty,trade_Trade Policy EMV Fraction,MI_sp500_Close,MI_sp500_Volume,MI_vix_Close,MI_vix_Volume,MI_dji_Close,MI_dji_Volume,MI_ndx_Close,MI_ndx_Volume,MI_n255_Close,MI_n255_Volume,MI_ftse_Close,MI_ftse_Volume,MI_hsi_Close,MI_hsi_Volume,MI_n100_Close,MI_n100_Volume,MI_Overall EMV Tracker,MI_infectious_daily_infect_emv_index,MI_GPR,MI_trade_US Trade Policy Uncertainty,MI_trade_Japanese Trade Policy Uncertainty,MI_trade_Trade Policy EMV Fraction,sp500_close_ema_5,sp500_close_ema_5_diff1_period3,sp500_close_ema_5_diff2_period1,sp500_close_ema_13,sp500_close_ema_13_diff1_period3,sp500_close_ema_13_diff2_period1,sp500_close_ema_26,sp500_close_ema_26_diff1_period3,sp500_close_ema_26_diff2_period1,sp500_close_ema_52,sp500_close_ema_52_diff1_period3,sp500_close_ema_52_diff2_period1,sp500_log_returns,sp500volatility_5,sp500volatility_5_diff1_period3,sp500volatility_5_diff2_period1,sp500_volatility_13,sp500_volatility_13_diff1_period3,sp500_volatility_13_diff2_period1,sp500_volatility_26,sp500_volatility_26_diff1_period3,sp500_volatility_26_diff2_period1,sp500_volatility_52,sp500_volatility_52_diff1_period3,sp500_volatility_52_diff2_period1,sp500_skewness_13,sp500_skewness_13_diff1_period3,sp500_skewness_26,sp500_skewness_26_diff1_period3,sp500_skewness_52,sp500_skewness_52_diff1_period3,sp500_kurtosis_13,sp500_kurtosis_13_diff1_period3,sp500_urtosis_26,sp500_urtosis_26_diff1_period3,sp500_kurtosis_52,sp500_kurtosis_52_diff1_period3,sp500_obv,sp500_obv_ema5,sp500_obv_ema5_diff1_period3,sp500_obv_ema13,sp500_obv_ema13_diff1_period3,sp500_obv_ema26,sp500_obv_ema26_diff1_period3,sp500_obv_ema52,sp500_obv_ema52_diff1_period3,sp500_52_Week_High,sp500_52_Week_High_diff1_period3,sp500_52_Week_Low,sp500_52_Week_Low_diff1_period3,vix_close_ema_5,vix_close_ema_5_diff1_period3,vix_close_ema_5_diff2_period1,vix_close_ema_13,vix_close_ema_13_diff1_period3,vix_close_ema_13_diff2_period1,vix_close_ema_26,vix_close_ema_26_diff1_period3,vix_close_ema_26_diff2_period1,vix_close_ema_52,vix_close_ema_52_diff1_period3,vix_close_ema_52_diff2_period1,vix_log_returns,vixvolatility_5,vixvolatility_5_diff1_period3,vixvolatility_5_diff2_period1,vix_volatility_13,vix_volatility_13_diff1_period3,vix_volatility_13_diff2_period1,vix_volatility_26,vix_volatility_26_diff1_period3,vix_volatility_26_diff2_period1,vix_volatility_52,vix_volatility_52_diff1_period3,vix_volatility_52_diff2_period1,vix_skewness_13,vix_skewness_13_diff1_period3,vix_skewness_26,vix_skewness_26_diff1_period3,vix_skewness_52,vix_skewness_52_diff1_period3,vix_kurtosis_13,vix_kurtosis_13_diff1_period3,vix_urtosis_26,vix_urtosis_26_diff1_period3,vix_kurtosis_52,vix_kurtosis_52_diff1_period3,vix_obv,vix_obv_ema5,vix_obv_ema5_diff1_period3,vix_obv_ema13,vix_obv_ema13_diff1_period3,vix_obv_ema26,vix_obv_ema26_diff1_period3,vix_obv_ema52,vix_obv_ema52_diff1_period3,vix_52_Week_High,vix_52_Week_High_diff1_period3,vix_52_Week_Low,vix_52_Week_Low_diff1_period3,dji_close_ema_5,dji_close_ema_5_diff1_period3,dji_close_ema_5_diff2_period1,dji_close_ema_13,dji_close_ema_13_diff1_period3,dji_close_ema_13_diff2_period1,dji_close_ema_26,dji_close_ema_26_diff1_period3,dji_close_ema_26_diff2_period1,dji_close_ema_52,dji_close_ema_52_diff1_period3,dji_close_ema_52_diff2_period1,dji_log_returns,djivolatility_5,djivolatility_5_diff1_period3,djivolatility_5_diff2_period1,dji_volatility_13,dji_volatility_13_diff1_period3,dji_volatility_13_diff2_period1,dji_volatility_26,dji_volatility_26_diff1_period3,dji_volatility_26_diff2_period1,dji_volatility_52,dji_volatility_52_diff1_period3,dji_volatility_52_diff2_period1,dji_skewness_13,dji_skewness_13_diff1_period3,dji_skewness_26,dji_skewness_26_diff1_period3,dji_skewness_52,dji_skewness_52_diff1_period3,dji_kurtosis_13,dji_kurtosis_13_diff1_period3,dji_urtosis_26,dji_urtosis_26_diff1_period3,dji_kurtosis_52,dji_kurtosis_52_diff1_period3,dji_obv,dji_obv_ema5,dji_obv_ema5_diff1_period3,dji_obv_ema13,dji_obv_ema13_diff1_period3,dji_obv_ema26,dji_obv_ema26_diff1_period3,dji_obv_ema52,dji_obv_ema52_diff1_period3,dji_52_Week_High,dji_52_Week_High_diff1_period3,dji_52_Week_Low,dji_52_Week_Low_diff1_period3,ndx_close_ema_5,ndx_close_ema_5_diff1_period3,ndx_close_ema_5_diff2_period1,ndx_close_ema_13,ndx_close_ema_13_diff1_period3,ndx_close_ema_13_diff2_period1,ndx_close_ema_26,ndx_close_ema_26_diff1_period3,ndx_close_ema_26_diff2_period1,ndx_close_ema_52,ndx_close_ema_52_diff1_period3,ndx_close_ema_52_diff2_period1,ndx_log_returns,ndxvolatility_5,ndxvolatility_5_diff1_period3,ndxvolatility_5_diff2_period1,ndx_volatility_13,ndx_volatility_13_diff1_period3,ndx_volatility_13_diff2_period1,ndx_volatility_26,ndx_volatility_26_diff1_period3,ndx_volatility_26_diff2_period1,ndx_volatility_52,ndx_volatility_52_diff1_period3,ndx_volatility_52_diff2_period1,ndx_skewness_13,ndx_skewness_13_diff1_period3,ndx_skewness_26,ndx_skewness_26_diff1_period3,ndx_skewness_52,ndx_skewness_52_diff1_period3,ndx_kurtosis_13,ndx_kurtosis_13_diff1_period3,ndx_urtosis_26,ndx_urtosis_26_diff1_period3,ndx_kurtosis_52,ndx_kurtosis_52_diff1_period3,ndx_obv,ndx_obv_ema5,ndx_obv_ema5_diff1_period3,ndx_obv_ema13,ndx_obv_ema13_diff1_period3,ndx_obv_ema26,ndx_obv_ema26_diff1_period3,ndx_obv_ema52,ndx_obv_ema52_diff1_period3,ndx_52_Week_High,ndx_52_Week_High_diff1_period3,ndx_52_Week_Low,ndx_52_Week_Low_diff1_period3,n255_close_ema_5,n255_close_ema_5_diff1_period3,n255_close_ema_5_diff2_period1,n255_close_ema_13,n255_close_ema_13_diff1_period3,n255_close_ema_13_diff2_period1,n255_close_ema_26,n255_close_ema_26_diff1_period3,n255_close_ema_26_diff2_period1,n255_close_ema_52,n255_close_ema_52_diff1_period3,n255_close_ema_52_diff2_period1,n255_log_returns,n255volatility_5,n255volatility_5_diff1_period3,n255volatility_5_diff2_period1,n255_volatility_13,n255_volatility_13_diff1_period3,n255_volatility_13_diff2_period1,n255_volatility_26,n255_volatility_26_diff1_period3,n255_volatility_26_diff2_period1,n255_volatility_52,n255_volatility_52_diff1_period3,n255_volatility_52_diff2_period1,n255_skewness_13,n255_skewness_13_diff1_period3,n255_skewness_26,n255_skewness_26_diff1_period3,n255_skewness_52,n255_skewness_52_diff1_period3,n255_kurtosis_13,n255_kurtosis_13_diff1_period3,n255_urtosis_26,n255_urtosis_26_diff1_period3,n255_kurtosis_52,n255_kurtosis_52_diff1_period3,n255_obv,n255_obv_ema5,n255_obv_ema5_diff1_period3,n255_obv_ema13,n255_obv_ema13_diff1_period3,n255_obv_ema26,n255_obv_ema26_diff1_period3,n255_obv_ema52,n255_obv_ema52_diff1_period3,n255_52_Week_High,n255_52_Week_High_diff1_period3,n255_52_Week_Low,n255_52_Week_Low_diff1_period3,ftse_close_ema_5,ftse_close_ema_5_diff1_period3,ftse_close_ema_5_diff2_period1,ftse_close_ema_13,ftse_close_ema_13_diff1_period3,ftse_close_ema_13_diff2_period1,ftse_close_ema_26,ftse_close_ema_26_diff1_period3,ftse_close_ema_26_diff2_period1,ftse_close_ema_52,ftse_close_ema_52_diff1_period3,ftse_close_ema_52_diff2_period1,ftse_log_returns,ftsevolatility_5,ftsevolatility_5_diff1_period3,ftsevolatility_5_diff2_period1,ftse_volatility_13,ftse_volatility_13_diff1_period3,ftse_volatility_13_diff2_period1,ftse_volatility_26,ftse_volatility_26_diff1_period3,ftse_volatility_26_diff2_period1,ftse_volatility_52,ftse_volatility_52_diff1_period3,ftse_volatility_52_diff2_period1,ftse_skewness_13,ftse_skewness_13_diff1_period3,ftse_skewness_26,ftse_skewness_26_diff1_period3,ftse_skewness_52,ftse_skewness_52_diff1_period3,ftse_kurtosis_13,ftse_kurtosis_13_diff1_period3,ftse_urtosis_26,ftse_urtosis_26_diff1_period3,ftse_kurtosis_52,ftse_kurtosis_52_diff1_period3,ftse_obv,ftse_obv_ema5,ftse_obv_ema5_diff1_period3,ftse_obv_ema13,ftse_obv_ema13_diff1_period3,ftse_obv_ema26,ftse_obv_ema26_diff1_period3,ftse_obv_ema52,ftse_obv_ema52_diff1_period3,ftse_52_Week_High,ftse_52_Week_High_diff1_period3,ftse_52_Week_Low,ftse_52_Week_Low_diff1_period3,hsi_close_ema_5,hsi_close_ema_5_diff1_period3,hsi_close_ema_5_diff2_period1,hsi_close_ema_13,hsi_close_ema_13_diff1_period3,hsi_close_ema_13_diff2_period1,hsi_close_ema_26,hsi_close_ema_26_diff1_period3,hsi_close_ema_26_diff2_period1,hsi_close_ema_52,hsi_close_ema_52_diff1_period3,hsi_close_ema_52_diff2_period1,hsi_log_returns,hsivolatility_5,hsivolatility_5_diff1_period3,hsivolatility_5_diff2_period1,hsi_volatility_13,hsi_volatility_13_diff1_period3,hsi_volatility_13_diff2_period1,hsi_volatility_26,hsi_volatility_26_diff1_period3,hsi_volatility_26_diff2_period1,hsi_volatility_52,hsi_volatility_52_diff1_period3,hsi_volatility_52_diff2_period1,hsi_skewness_13,hsi_skewness_13_diff1_period3,hsi_skewness_26,hsi_skewness_26_diff1_period3,hsi_skewness_52,hsi_skewness_52_diff1_period3,hsi_kurtosis_13,hsi_kurtosis_13_diff1_period3,hsi_urtosis_26,hsi_urtosis_26_diff1_period3,hsi_kurtosis_52,hsi_kurtosis_52_diff1_period3,hsi_obv,hsi_obv_ema5,hsi_obv_ema5_diff1_period3,hsi_obv_ema13,hsi_obv_ema13_diff1_period3,hsi_obv_ema26,hsi_obv_ema26_diff1_period3,hsi_obv_ema52,hsi_obv_ema52_diff1_period3,hsi_52_Week_High,hsi_52_Week_High_diff1_period3,hsi_52_Week_Low,hsi_52_Week_Low_diff1_period3,n100_close_ema_5,n100_close_ema_5_diff1_period3,n100_close_ema_5_diff2_period1,n100_close_ema_13,n100_close_ema_13_diff1_period3,n100_close_ema_13_diff2_period1,n100_close_ema_26,n100_close_ema_26_diff1_period3,n100_close_ema_26_diff2_period1,n100_close_ema_52,n100_close_ema_52_diff1_period3,n100_close_ema_52_diff2_period1,n100_log_returns,n100volatility_5,n100volatility_5_diff1_period3,n100volatility_5_diff2_period1,n100_volatility_13,n100_volatility_13_diff1_period3,n100_volatility_13_diff2_period1,n100_volatility_26,n100_volatility_26_diff1_period3,n100_volatility_26_diff2_period1,n100_volatility_52,n100_volatility_52_diff1_period3,n100_volatility_52_diff2_period1,n100_skewness_13,n100_skewness_13_diff1_period3,n100_skewness_26,n100_skewness_26_diff1_period3,n100_skewness_52,n100_skewness_52_diff1_period3,n100_kurtosis_13,n100_kurtosis_13_diff1_period3,n100_urtosis_26,n100_urtosis_26_diff1_period3,n100_kurtosis_52,n100_kurtosis_52_diff1_period3,n100_obv,n100_obv_ema5,n100_obv_ema5_diff1_period3,n100_obv_ema13,n100_obv_ema13_diff1_period3,n100_obv_ema26,n100_obv_ema26_diff1_period3,n100_obv_ema52,n100_obv_ema52_diff1_period3,n100_52_Week_High,n100_52_Week_High_diff1_period3,n100_52_Week_Low,n100_52_Week_Low_diff1_period3
2000-01-07,1441.469971,1225200000.0,21.719998999999998,0.0,11522.55957,184900000.0,3529.600098,1634930000.0,18193.410156,0.0,6504.799805,888306000.0,15405.629883000001,0.0,943.8800050000001,0.0,-99999999999999.0,0.0,-99999999999999.0,-99999999999999.0,-99999999999999.0,-99999999999999.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1225200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1634930000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,888306000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,
2000-01-14,1465.150024,1085900000.0,19.66,0.0,11722.980469,266830000.0,3704.73999,1656630000.0,18956.550781,0.0,6658.200195,1098626000.0,15542.230469,0.0,973.8599849999999,0.0,-99999999999999.0,0.0,-99999999999999.0,-99999999999999.0,-99999999999999.0,-99999999999999.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,True,True,,,,,,,,,,,,,0.016294236579824088,,,,,,,,,,,,,,,,,,,,,,,,,2311100000.0,,,,,,,,,,,,,,,,,,,,,,,,,-0.09964733430619738,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.01724424256301755,,,,,,,,,,,,,,,,,,,,,,,,,451730000.0,,,,,,,,,,,,,,,,,,,,,,,,,0.048428500305565926,,,,,,,,,,,,,,,,,,,,,,,,,3291560000.0,,,,,,,,,,,,,,,,,,,,,,,,,0.04109011026840197,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.02330887110600249,,,,,,,,,,,,,,,,,,,,,,,,,1986932000.0,,,,,,,,,,,,,,,,,,,,,,,,,0.00882784603277716,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.03126849602395255,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,
2000-01-21,1441.359985,1209800000.0,20.82,0.0,11251.709961,205840000.0,3849.959961,1923680000.0,18878.089844,0.0,6346.299805,1007934000.0,15108.410156,0.0,951.51001,0.0,-99999999999999.0,0.0,-99999999999999.0,-99999999999999.0,-99999999999999.0,-99999999999999.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,True,True,,,,,,,,,,,,,-0.016370540768230593,,,,,,,,,,,,,,,,,,,,,,,,,1101300000.0,,,,,,,,,,,,,,,,,,,,,,,,,0.057327948467802384,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,-0.041030944413727816,,,,,,,,,,,,,,,,,,,,,,,,,245890000.0,,,,,,,,,,,,,,,,,,,,,,,,,0.038449670357557766,,,,,,,,,,,,,,,,,,,,,,,,,5215240000.0,,,,,,,,,,,,,,,,,,,,,,,,,-0.004147577361920682,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,-0.04797727184926038,,,,,,,,,,,,,,,,,,,,,,,,,978998000.0,,,,,,,,,,,,,,,,,,,,,,,,,-0.028309312716096748,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,-0.02321733383032866,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,
2000-01-28,1360.160034,1095800000.0,26.139999,0.0,10738.870117,183090000.0,3446.1298829999996,1616370000.0,19434.779297,0.0,6375.600098,918227000.0,16185.94043,0.0,948.2100220000001,0.0,24.412899017333984,0.0,-99999999999999.0,71.91424718351676,117.57714600754619,0.03357314148681055,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,,,,,,,,-0.05798473703449907,,,,,,,,,,,,,,,,,,,,,,,,,5500000.0,,,,,,,,,,,,,,,,,,,,,,,,,0.22755260675370526,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,-0.04665023334583755,,,,,,,,,,,,,,,,,,,,,,,,,62800000.0,,,,,,,,,,,,,,,,,,,,,,,,,-0.11081092016387918,,,,,,,,,,,,,,,,,,,,,,,,,3598870000.0,,,,,,,,,,,,,,,,,,,,,,,,,0.029062226201937442,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0046062844434931905,,,,,,,,,,,,,,,,,,,,,,,,,1897225000.0,,,,,,,,,,,,,,,,,,,,,,,,,0.06889143797817993,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,-0.003474186999814011,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,
2000-02-04,1424.369995,1045100000.0,21.540001,0.0,10963.799805,166590000.0,3874.3701170000004,1751450000.0,19763.130859,0.0,6185.0,2309287000.0,-99999999999999.0,-99999999999999.0,1010.429993,0.0,-99999999999999.0,0.75,-99999999999999.0,-99999999999999.0,-99999999999999.0,-99999999999999.0,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,True,True,True,True,1421.6214978746507,,,,,,,,,,,,0.04612724230581595,,,,,,,,,,,,,,,,,,,,,,,,,1050600000.0,1044455514.943023,,,,,,,,,,,,22.189860157170504,,,,,,,,,,,,-0.19355495178703133,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,11164.790006781337,,,,,,,,,,,,0.020729038683039974,,,,,,,,,,,,,,,,,,,,,,,,,229390000.0,223774336.70178458,,,,,,,,,,,,3696.5218155067732,,,,,,,,,,,,0.11713127079946481,,,,,,,,,,,,,,,,,,,,,,,,,5350320000.0,4086220505.2676845,,,,,,,,,,,,19174.619334954634,,,,,,,,,,,,0.01675391576617159,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,6379.752301594281,,,,,,,,,,,,-0.03035121378941176,,,,,,,,,,,,,,,,,,,,,,,,,-412062000.0,954947129.2195228,,,,,,,,,,,,-27864975262875.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99999999999999.0,27864975274134.316,,,,,,,,,,,,969.7405064637715,,,,,,,,,,,,0.06355523496689713,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,
2000-02-11,1387.119995,1025700000.0,24.42,0.0,10425.209961,193540000.0,3968.889893,1738590000.0,-99999999999999.0,-99999999999999.0,6193.299805,3433671000.0,17380.300781,0.0,1014.169983,0.0,-99999999999999.0,0.74,-99999999999999.0,-99999999999999.0,-99999999999999.0,-99999999999999.0,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,True,True,True,True,1412.9758310784377,,,,,,,,,,,,-0.026499955540096935,0.28912533065578366,,,,,,,,,,,,,,,,,,,,,,,,24900000.0,788967013.6315297,,,,,,,,,,,,22.748706711192035,,,,,,,,,,,,0.12549075052906197,1.2251555308217772,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,10979.460032368792,,,,,,,,,,,,-0.05037201134472219,0.2580169765400692,,,,,,,,,,,,,,,,,,,,,,,,35850000.0,176682730.1730528,,,,,,,,,,,,3764.774020417583,,,,,,,,,,,,0.024103332526626678,0.5995579388064228,,,,,,,,,,,,,,,,,,,,,,,,7088910000.0,4838658825.36818,,,,,,,,,,,,-25058812141216.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99999999999999.0,25058812155586.098,,,,,,,,,,,,6333.029520713318,,,,,,,,,,,,0.001341025241685646,0.20736516400001934,,,,,,,,,,,,,,,,,,,,,,,,3021609000.0,1472828045.309529,,,,,,,,,,,,-20882343450195.816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99999999999999.0,45941155618574.51,,,,,,,,,,,,980.8740055306954,,,,,,,,,,,,0.0036945513172792,0.24320597362222884,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,
2000-02-18,1346.089966,1042300000.0,26.0,0.0,10219.519531,208930000.0,3965.75,1898410000.0,19789.029297,0.0,6165.0,1098726000.0,16599.160156,0.0,992.5300289999999,0.0,-99999999999999.0,0.0,-99999999999999.0,-99999999999999.0,-99999999999999.0,-99999999999999.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,True,True,1397.5127149891284,,,,,,,,,,,,-0.0300255831362979,0.2775360403050416,,,,,,,,,,,,,,,,,,,,,,,,-1017400000.0,371359155.8438341,,,,,,,,,,,,23.500362169430804,,,,,,,,,,,,0.06269406933892335,1.12052889176298,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,10803.771967635637,,,,,,,,,,,,-0.019927336577818856,0.21197206899387006,,,,,,,,,,,,,,,,,,,,,,,,-173080000.0,95822271.92769477,,,,,,,,,,,,3811.236974881895,,,,,,,,,,,,-0.0007914393611401141,0.5938961289730265,,,,,,,,,,,,,,,,,,,,,,,,5190500000.0,4919999792.132242,,,,,,,,,,,,-19265550425136.168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99999999999999.0,42384210969669.21,,,,,,,,,,,,6294.183346231251,,,,,,,,,,,,-0.0045798944698291376,0.1645334831132669,,,,,,,,,,,,,,,,,,,,,,,,1922883000.0,1576874722.477962,,,,,,,,,,,,-16054625353626.322,,,,,,,,,,,,-0.04598532477341815,,,,,,,,,,,,,,,,,,,,,,,,,99999999999999.0,58438836336968.16,,,,,,,,,,,,983.568722027734,,,,,,,,,,,,-0.021568538173403234,0.2548773366596265,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,
2000-02-25,1333.359985,1065200000.0,25.200001,0.0,9862.120117,195240000.0,4178.580078,1825500000.0,19817.880859,0.0,6198.0,1181230000.0,17200.980469,0.0,1004.7199710000001,0.0,-99999999999999.0,0.0,-99999999999999.0,-99999999999999.0,-99999999999999.0,-99999999999999.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,True,True,1383.5803767321224,-38.041121142528254,,,,,,,,,,,-0.00950200751138305,0.278604559233095,,,,,,,,,,,,,,,,,,,,,,,,-2082600000.0,-161578242.67198133,-1206033757.6150043,,,,,,,,,,,23.869480414379158,1.6796202572086543,,,,,,,,,,,-0.03125250382156548,1.1549479061757542,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,10599.269180215448,-565.5208265658894,,,,,,,,,,,-0.0355984035393822,0.20813667412811954,,,,,,,,,,,,,,,,,,,,,,,,-368320000.0,-4977602.574416684,-228751939.27620128,,,,,,,,,,,3891.01453648975,194.4927209829766,,,,,,,,,,,0.05227650226270025,0.6030160904368598,,,,,,,,,,,,,,,,,,,,,,,,7016000000.0,5375197628.416335,1288977123.1486506,,,,,,,,,,,-15081563780265.37,-15081563799439.988,,,,,,,,,,,0.0014568956270302107,,,,,,,,,,,,,,,,,,,,,,,,,99999999999999.0,54896892220348.55,54896892220348.55,,,,,,,,,,,6273.2947743090335,-106.45752728524712,,,,,,,,,,,0.005338522749248846,0.10707138631704803,,,,,,,,,,,,,,,,,,,,,,,,3104113000.0,1908551960.2991798,953604831.079657,,,,,,,,,,,-12567969816226.982,15297005446648.768,,,,,,,,,,,0.035614285135788314,,,,,,,,,,,,,,,,,,,,,,,,,99999999999999.0,67464862051014.42,39599886776880.11,,,,,,,,,,,988.162234342638,18.42172787886659,,,,,,,,,,,0.012206877823068287,0.23050224534603347,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,
2000-03-03,1409.170044,1150300000.0,19.209999,0.0,10367.200195,210460000.0,4442.870117,2136530000.0,19927.539063,0.0,6487.5,1107792000.0,17285.240234,0.0,1042.400024,0.0,-99999999999999.0,0.0,-99999999999999.0,-99999999999999.0,-99999999999999.0,-99999999999999.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,True,True,1388.8706024656171,-24.10522861282061,13.935892529707644,,,,,,,,,,0.05529884880595804,0.2935624083232739,0.004437077667490241,,,,,,,,,,,,,,,,,,,,,,,-932300000.0,-320911774.8863293,-1109878788.517859,,,,,,,,,,,22.906212380252327,0.15750566906029206,-1.5221145881483622,,,,,,,,,,-0.27141310947567326,1.2109853864077211,-0.014170144414056063,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,10551.292889446171,-428.16714292262077,137.3536836432686,,,,,,,,,,0.0499458274396501,0.29901810809473917,0.041001131554669945,,,,,,,,,,,,,,,,,,,,,,,-157860000.0,-36583421.61819986,-213266151.79125264,,,,,,,,,,,4005.1012326013724,240.32721218378947,45.83449120081286,,,,,,,,,,0.06132909578156397,0.32021005411766995,-0.2793478846887529,,,,,,,,,,,,,,,,,,,,,,,9152530000.0,6156096446.166819,1317437620.7986383,,,,,,,,,,,-11963708589655.943,13095103551560.467,28176667351000.453,,,,,,,,,,0.005518043712299293,,,,,,,,,,,,,,,,,,,,,,,,,99999999999999.0,64221187801792.22,39162375646206.125,,,,,,,,,,,6317.578038539743,-15.451482173574732,91.00604511167239,,,,,,,,,,0.04565058912645061,0.197349210333127,-0.010015953666892341,,,,,,,,,,,,,,,,,,,,,,,4211905000.0,2384730778.7414255,911902733.4318964,,,,,,,,,,,-9969757157382.045,10912586292813.771,-4384419153834.996,,,,,,,,,,0.004886585479662915,,,,,,,,,,,,,,,,,,,,,,,,,99999999999999.0,74190944974201.6,28249789355627.086,,,,,,,,,,,999.3749690597252,18.500963529029832,0.07923565016324119,,,,,,,,,,0.03681690298831834,0.2344662896167435,-0.008739684005485332,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,
